product_id,product_name,aisle_id,department_id
23,Organic Turkey Burgers,49,12
29,Fresh Cut Golden Sweet No Salt Added Whole Kernel Corn,81,15
34,Peanut Butter Cereal,121,14
79,Wild Albacore Tuna No Salt Added,95,15
93,Uncured Cracked Pepper Beef,23,19
95,Organic Rice Vinegar,66,6
100,Peanut Butter & Strawberry Jam Sandwich,38,1
116,English Muffins,93,3
148,Nectarines,24,4
160,100% Recycled Aluminum Foil,97,13
169,Extra Sharp Cheddar Cheese,21,16
196,Soda,77,7
204,Free & Clear Natural Laundry Detergent For Sensitive Skin,75,17
210,Homemade Hot Arrabbiata Fra Diavolo Sauce,9,9
211,Gluten Free Organic Cereal Coconut Maple Vanilla,130,14
226,Shaved Parmesan Cheese,21,16
239,Chicharrones Picante Flavor Pork Rinds,107,19
248,Dried Sweetened Cranberries,117,19
258,Vegetable Pot Pie,38,1
260,Cantaloupe,24,4
274,Snack Bags,87,17
278,Instant Mashed Potatoes,4,9
300,Organic Enriched Unbleached White Flour,17,13
311,Naturals Savory Turkey Breakfast Sausage,52,1
343,Organic Whole Peeled Baby Carrots,123,4
377,Chunky Beef with Vegetables & Brown Rice Dog Food,40,8
397,Pure Granulated Cane Sugar,17,13
401,"Flat Floss, Antiplaque, Naturally Waxed, Spearmint",20,11
432,Vanilla Almond Breeze Almond Milk,91,16
445,Almond Honey Protein+ Bar,3,19
455,Ibuprofen Liquid Gels,133,11
457,Whole Wheat Fig Bar,48,14
481,Black Peppercorns,104,13
519,Antioxidant Infusions Brasilia Blueberry,31,7
578,"10\"" Bamboo Skewers",10,17
622,Fudge Brownies with English Walnuts,61,19
633,Coconut Milk Creamer Barista Style Original,91,16
651,Organic Salted Butter,36,16
689,"Antibacterial, Pomegranate & Tangerine Hand Soap with Moisturizer",127,11
691,Organic Promise Strawberry Fields Cereal,121,14
692,Skirt Steak,122,12
694,Greek & Chia Blood Orange Yogurt,120,16
810,Organic Honey Mustard,72,13
812,Healthy Grains Oats & Honey Clusters with Toasted Coconut Gluten Free,57,14
831,All Natural Premium Cornish Hen,34,1
890,Organic Diced Tomatoes,81,15
928,Chunky Classic Chicken Noodle Soup,69,15
952,"Flaxseed Meal, Whole Ground",17,13
1005,China Green Tips Green Tea,94,7
1025,Organic Fresh Basil,16,4
1063,Extra Dark Chocolate Baking Chips,17,13
1073,Carving Board Oven Roasted Turkey,96,20
1082,Ultimate Absorbency Long Pads,126,11
1090,Shells & Real Aged Cheddar Macaroni & Cheese,4,9
1094,Kids Strawberry Yogurt Tubes,120,16
1158,Mango Chunks,116,1
1185,Energy Tropical Citrus Vitamin Water Drink,64,7
1194,Natural Artisan Water,115,7
1200,Vegetable Classics Vegetable Soup,69,15
